,Vintage,Estate,Appellation,Color,Classification,Quantity,Volume,Packing,Price,R. Parker
262,2012,CH. GRAND PUY LACOSTE,PAUILLAC,RED,5CC,300,BT,OWC12,33.0,91
263,2012,CH. GRANDES MURAILLES (LES),SAINT EMILION GRAND CRU,RED,CC,60,BT,OWC6,28.0,90
264,2012,CH. GUIRAUD,SAUTERNES,SWEET,1CC,144,BT,OWC6,30.0,90-92
265,2012,CH. HAUT BAILLY,PESSAC LEOGNAN,RED,CC,102,BT,OWC6,58.0,96
266,2012,CH. HAUT BATAILLEY,PAUILLAC,RED,5CC,48,BT,OWC12,25.0,92
267,2012,CH. HAUT BRION BLANC,PESSAC LEOGNAN,WHITE,,48,BT,OWC6,600.0,98
268,2012,CH. HAUT BRION ROUGE,PESSAC LEOGNAN,RED,1CC,180,BT,-,330.0,98
269,2012,CH. HAUT MARBUZET,SAINT ESTEPHE,RED,,12,BT,OWC6,22.0,87
270,2012,CH. LAFITE ROTHSCHILD,PAUILLAC,RED,1CC,300,BT,-,380.0,91
271,2012,CH. LAGRANGE,SAINT JULIEN,RED,3CC,510,BT,OWC6,24.0,86
272,2012,CH. LALANDE BORIE,SAINT JULIEN,RED,,600,BT,OWC12,15.0,86-88
273,2012,CH. LANESSAN,HAUT MEDOC,RED,,594,BT,OWC6,9.0,86
274,2012,CH. LANGOA BARTON,SAINT JULIEN,RED,3CC,6,BT,OWC12,30.5,90
275,2012,CH. LANGOA BARTON,SAINT JULIEN,RED,3CC,600,BT,OWC6,30.5,90
276,2012,CH. LEOVILLE POYFERRE,SAINT JULIEN,RED,2CC,12,BT,OWC6,50.0,92+
277,2012,CH. MALARTIC LAGRAVIERE BLANC,PESSAC LEOGNAN,WHITE,CC,24,BT,OWC12,35.5,93
278,2012,CH. MALESCOT SAINT EXUPERY,MARGAUX,RED,3CC,168,BT,OWC6,32.0,93
279,2012,CH. MARGAUX,MARGAUX,RED,1CC,162,BT,OWC6,315.0,95
280,2012,CH. MAROJALLIA,MARGAUX         ,RED,,288,BT,OWC6,33.8,93
281,2012,CH. MISSION HAUT BRION BLANC (LA),PESSAC LEOGNAN,WHITE,CC,42,BT,OWC6,485.0,96-98+
282,2012,CH. MISSION HAUT BRION ROUGE (LA),PESSAC LEOGNAN,RED,CC,222,BT,OWC6,160.0,97
283,2012,CH. MONTROSE,SAINT ESTEPHE,RED,2CC,600,BT,OWC6,58.0,92+
284,2012,CH. NENIN,POMEROL,RED,,12,BT,OWC6,31.0,91-93
285,2012,CH. PALMER,MARGAUX,RED,3CC,300,BT,OWC6,175.0,96
286,2012,CH. PAPE CLEMENT ROUGE,PESSAC LEOGNAN  ,RED,CC,6,BT,OWC6,65.0,97
287,2012,CH. PICQUE CAILLOU ROUGE,PESSAC LEOGNAN,RED,,120,BT,OWC12,10.8,-
288,2012,CH. PONTET CANET,PAUILLAC,RED,5CC,12,BT,OWC12,66.0,93
289,2012,CH. POTENSAC,MEDOC,RED,,432,BT,OWC6,12.6,87-89
290,2012,CH. QUINAULT L'ENCLOS,SAINT EMILION GRAND CRU,RED,CC,144,BT,OWC6,19.2,88
291,2012,CH. QUINTUS,SAINT EMILION GRAND CRU,RED,GC,120,BT,OWC6,71.5,89
292,2012,CH. SIAURAC,LALANDE DE POMEROL,RED,,48,BT,OWC12,9.0,85-87
293,2012,CH. TEYSSIER,SAINT EMILION GRAND CRU,RED,,600,BT,OWC6,10.0,87
294,2012,CH. TRONQUOY LALANDE,SAINT ESTEPHE,RED,,600,BT,OWC6,18.0,89+
295,2012,CH. TROPLONG MONDOT,SAINT EMILION GRAND CRU,RED,CC1,288,BT,OWC12,59.0,96
296,2012,CH. VAL DE ROC,BORDEAUX SUPERIEUR,RED,,600,BT,OWC12,5.35,-
297,2012,CHAPELLE D'AUSONE,SAINT EMILION GRAND CRU,RED,2nd,66,BT,OWC6,125.0,93
298,2012,CHAPELLE DE LA MISSION HAUT BRION (LA),PESSAC LEOGNAN,RED,2nd,576,BT,OWC6,36.0,90
299,2012,CHAPELLE DE POTENSAC,MEDOC,RED,2nd,276,BT,OWC6,6.9,82-84
300,2012,CLARENCE DE HAUT BRION (LE),PESSAC LEOGNAN,RED,2nd,270,BT,OWC6,61.0,90
301,2012,CLOS DE L'ORATOIRE,SAINT EMILION GRAND CRU,RED,CC,6,BT,OWC6,25.0,94+
302,2012,CLOS FLORIDENE ROUGE,GRAVES,RED,,168,BT,OWC12,10.2,88
303,2012,CLOS L'EGLISE,POMEROL,RED,,84,BT,OWC6,44.0,90
304,2012,CLOS SAINT MARTIN,SAINT EMILION GRAND CRU,RED,CC,6,BT,OWC6,30.0,93
305,2012,CROIX DE BEAUCAILLOU (LA),SAINT JULIEN,RED,2nd,600,BT,OWC12,22.0,87-89
306,2012,DAME DE MONTROSE (LA),SAINT ESTEPHE   ,RED,2nd,600,BT,OWC6,21.0,88
307,2012,DAUPHIN D'OLIVIER (LE),PESSAC LEOGNAN,RED,2nd,600,BT,CB boxes12,9.75,-
308,2012,DOMAINE DE CHEVALIER BLANC,PESSAC LEOGNAN,WHITE,CC,12,BT,OWC6,58.0,93+
309,2012,DRAGON DE QUINTUS (LE),SAINT EMILION GRAND CRU,RED,2nd,414,BT,OWC6,17.5,88
310,2012,ECHO DE LYNCH BAGES,PAUILLAC,RED,2nd,600,BT,OWC6,22.9,86
311,2012,FIEFS DE LAGRANGE (LES),SAINT JULIEN    ,RED,2nd,240,BT,OWC6,14.0,-
312,2012,HAUT MEDOC DE CH. GISCOURS (LE),HAUT MEDOC,RED,,600,BT,CB boxes12,11.0,-
313,2012,HAUTS DU TERTRE (LES),MARGAUX,RED,,600,BT,OWC12,13.1,-
314,2012,LE DOME,SAINT EMILION GRAND CRU,RED,,600,BT,OWC6,71.0,93
315,2012,MARQUIS DE CALON (LE),SAINT ESTEPHE   ,RED,2nd,252,BT,OWC6,13.2,-
316,2012,PAGODES DE COS (LES),SAINT ESTEPHE,RED,2nd,180,BT,OWC6,27.2,88
317,2012,PARDE DE HAUT BAILLY (LA),PESSAC LEOGNAN,RED,2nd,276,BT,OWC12,15.0,89
318,2012,PAVILLON BLANC DU CHATEAU MARGAUX,MARGAUX,WHITE,2nd,36,BT,OWC12,155.0,90
319,2012,PAVILLON ROUGE DU CHATEAU MARGAUX,MARGAUX,RED,2nd,234,BT,OWC6,110.0,90+
320,2012,PETIT CHEVAL (LE),SAINT EMILION,RED,2nd,54,BT,OWC6,110.0,86-88
321,2012,VIEUX CHÂTEAU CERTAN,POMEROL,RED,,24,BT,OWC6,135.0,92-94
322,2012,VIEUX CHÂTEAU SAINT ANDRE,MONTAGNE SAINT EMILION,RED,,600,BT,OWC12,8.55,-
323,2012,Y D'YQUEM,BORDEAUX,WHITE,,24,BT,OWC6,110.0,91-93
324,2013,AILE D'ARGENT,BORDEAUX BLANC,WHITE,,426,BT,OWC6,48.0,90-92
325,2013,CARMES DE RIEUSSEC,SAUTERNES,SWEET,,600,BT,CB boxes6,14.5,88-90
326,2013,CARMES DE RIEUSSEC,SAUTERNES,SWEET,,600,DM,CB boxes24,7.25,88-90
327,2013,CH. AIGUILHE (D'),COTES DE CASTILLON,RED,,108,BT,OWC12,11.8,87-89
328,2013,CH. BEAUREGARD,POMEROL,RED,,102,BT,OWC6,21.6,-
329,2013,CH. BEAUSEJOUR DUFFAU,SAINT EMILION GRAND CRU,RED,CC1B,60,BT,OWC6,48.0,90-92
330,2013,CH. BEYCHEVELLE,SAINT JULIEN,RED,4CC,36,BT,OWC12,49.0,88-90
331,2013,CH. BOLAIRE,BORDEAUX SUPERIEUR,RED,,60,BT,OWC12,5.9,87-89
332,2013,CH. BOUSCAUT BLANC,PESSAC LEOGNAN  ,WHITE,CC,48,BT,OWC6,19.7,-
333,2013,CH. BOUSCAUT ROUGE,PESSAC LEOGNAN  ,RED,CC,60,BT,OWC6,15.0,-
334,2013,CH. BRANAIRE DUCRU,SAINT JULIEN,RED,4CC,276,BT,OWC6,24.9,90-92
335,2013,CH. BRANON,PESSAC LEOGNAN,RED,,6,BT,OWC6,39.9,89-91
336,2013,CH. CAMBON LA PELOUSE,HAUT MEDOC,RED,,120,BT,OWC12,9.0,85-86
337,2013,CH. CANON LA GAFFELIERE,SAINT EMILION GRAND CRU,RED,C1B,114,BT,OWC6,37.5,87-90
338,2013,CH. CANTEMERLE,HAUT MEDOC   ,RED,5CC,30,BT,OWC6,16.9,86-88
339,2013,CH. CANTENAC,SAINT EMILION GRAND CRU,RED,,96,BT,OWC12,8.3,86
340,2013,CH. CANTENAC BROWN,MARGAUX,RED,3CC,378,BT,OWC6,24.0,88-90+
341,2013,CH. CAP DE FAUGERES,COTES DE BORDEAUX (CASTILLON),RED,,120,BT,CB boxes12,7.0,87-88
342,2013,CH. CARBONNIEUX BLANC,PESSAC LEOGNAN,WHITE,CC,12,BT,OWC6,20.4,-
343,2013,CH. CARONNE SAINTE GEMME,HAUT MEDOC,RED,,36,BT,CB boxes12,7.2,-
344,2013,CH. CHANTEGRIVE (DE),GRAVES,WHITE,,24,BT,OWC12,10.5,91-93
345,2013,CH. CHEVAL BLANC,SAINT EMILION GRAND CRU,RED,C1A,3,BT,OWC3,300.0,89-91
346,2013,CH. CHEVAL BLANC,SAINT EMILION GRAND CRU,RED,C1A,120,BT,OWC6,300.0,89-91
347,2013,CH. CLERC MILON,PAUILLAC        ,RED,5CC,168,BT,OWC12,42.0,87-89
348,2013,CH. CONSEILLANTE (LA),POMEROL         ,RED,,216,BT,OWC6,57.0,89-91
349,2013,CH. COS D'ESTOURNEL,SAINT ESTEPHE,RED,2CC,414,BT,OWC6,81.5,86-88
350,2013,CH. COTE DE BALEAU,SAINT EMILION GRAND CRU,RED,CC,600,BT,OWC12,12.6,88-91
351,2013,CH. COUTET,BARSAC          ,SWEET,1CC,294,BT,OWC6,24.0,93-95
352,2013,CH. DALEM,FRONSAC,RED,,60,BT,OWC12,10.7,88-90
353,2013,CH. DASSAULT,SAINT EMILION GRAND CRU,RED,CC,36,BT,OWC12,18.0,86-88
354,2013,CH. DASSAULT,SAINT EMILION GRAND CRU,RED,CC,6,BT,OWC6,18.0,86-88
355,2013,CH. DESMIRAIL,MARGAUX,RED,3CC,60,BT,OWC12,17.4,-
356,2013,CH. DOMINIQUE (LA),SAINT EMILION GRAND CRU,RED,CC,24,BT,OWC12,24.0,92-94
357,2013,CH. DUCRU BEAUCAILLOU,SAINT JULIEN,RED,2CC,132,BT,OWC6,68.0,89-91
358,2013,CH. DUHART MILON ROTHSCHILD,PAUILLAC        ,RED,4CC,600,BT,,48.0,85-87
359,2013,CH. EVANGILE (L'),POMEROL         ,RED,,366,BT,OWC6,100.0,88-89
360,2013,CH. FAUGERES,SAINT EMILION GRAND CRU,RED,CC,120,,OWC12,19.2,87-89
361,2013,CH. FAURIE DE SOUCHARD,SAINT EMILION GRAND CRU,RED,,300,BT,OWC12,21.6,-
362,2013,CH. FEYTIT CLINET,POMEROL,RED,,60,BT,OWC12,33.0,90-92
363,2013,CH. FIEUZAL BLANC (DE),PESSAC LEOGNAN  ,WHITE,CC,48,,OWC6,28.0,94-96
364,2013,CH. FLEUR CARDINALE,SAINT EMILION GRAND CRU,RED,CC,120,,OWC12,21.6,89-91
365,2013,CH. FLEUR DE GAY (LA),POMEROL,RED,,60,,OWC12,52.0,87-89
366,2013,CH. FONBEL (DE),SAINT EMILION GRAND CRU,RED,,600,,CB boxes12,9.3,-
367,2013,CH. GAY (LE),POMEROL,RED,,24,,OWC6,48.0,85-87
368,2013,CH. GAZIN,POMEROL         ,RED,,24,BT,OWC6,38.0,90-92
369,2013,CH. GLORIA,SAINT JULIEN    ,RED,,444,BT,OWC6,19.8,87-89
370,2013,CH. GRAND MAYNE,SAINT EMILION GRAND CRU,RED,CC,12,,OWC12,21.0,84-86
371,2013,CH. GRAND PUY LACOSTE,PAUILLAC        ,RED,5CC,6,BT,OWC6,31.2,-
372,2013,CH. GRANDES MURAILLES (LES),SAINT EMILION GRAND CRU,RED,CC,60,BT,OWC6,28.0,88-89
373,2013,CH. GRUAUD LAROSE,SAINT JULIEN,RED,2CC,48,,OWC12,33.6,85-88
374,2013,CH. GURGUE (LA),MARGAUX,RED,,60,,OWC12,11.0,-
375,2013,CH. HAUT BAILLY,PESSAC LEOGNAN,RED,CC,156,,OWC6,42.0,91-93
376,2013,CH. HAUT BERGEY,PESSAC LEOGNAN,RED,,108,,OWC12,12.5,86-88
377,2013,CH. HAUT BRION BLANC,PESSAC LEOGNAN,WHITE,CC,6,,OWC6,600.0,94-96
378,2013,CH. HAUT BRION ROUGE,PESSAC LEOGNAN,RED,1CC,180,,OWC6,250.0,90-92
379,2013,CH. HAUT MARBUZET,SAINT ESTEPHE   ,RED,,24,BT,OWC12,21.0,83-86
380,2013,CH. LABEGORCE,MARGAUX,RED,,300,BT,OWC12,14.5,87-89
381,2013,CH. LAFONT ROCHET,SAINT ESTEPHE,RED,4CC,24,BT,OWC6,21.0,86-88
382,2013,CH. LANESSAN,HAUT MEDOC,RED,,180,BT,OWC6,8.85,-
383,2013,CH. LANGOA BARTON,SAINT JULIEN,RED,3CC,600,BT,OWC6,28.5,87-89
384,2013,CH. LARCIS DUCASSE,SAINT EMILION GRAND CRU   ,RED,C1B,60,,OWC12,30.0,88-91
385,2013,CH. LATOUR MARTILLAC BLANC,PESSAC LEOGNAN,WHITE,,96,BT,OWC12,19.0,-
386,2013,CH. LATOUR MARTILLAC ROUGE,PESSAC LEOGNAN,RED,CC,408,BT,OWC12,18.0,90-92
387,2013,CH. LEOVILLE BARTON,SAINT JULIEN,RED,2CC,108,BT,OWC6,42.5,90-92
388,2013,CH. LEOVILLE POYFERRE,SAINT JULIEN,RED,2CC,192,BT,OWC12,38.4,90-92
389,2013,CH. LEOVILLE POYFERRE,SAINT JULIEN,RED,2CC,3,BT,OWC3,38.4,90-92
390,2013,CH. LILIAN LADOUYS,SAINT ESTEPHE,RED,,600,BT,OWC6,9.9,86-88
391,2013,CH. LYNCH MOUSSAS,PAUILLAC        ,RED,5CC,72,BT,OWC6,18.9,-
392,2013,CH. MALARTIC LAGRAVIERE BLANC,PESSAC LEOGNAN,WHITE,CC,12,BT,OWC6,34.8,92-94
393,2013,CH. MARQUIS D'ALESME,MARGAUX         ,RED,5CC,120,BT,OWC12,20.0,88-90
394,2013,CH. MARQUIS DE TERME,MARGAUX,RED,4CC,174,BT,OWC6,21.0,-
395,2013,CH. MAUVESIN BARTON,MOULIS          ,RED,,288,BT,OWC12,9.3,88-90
396,2013,CH. MEYNEY,SAINT ESTEPHE   ,RED,,96,BT,OWC12,16.55,87-89
397,2013,CH. MISSION HAUT BRION BLANC (LA),PESSAC LEOGNAN,WHITE,CC,30,BT,OWC6,480.0,93-95
398,2013,CH. MISSION HAUT BRION ROUGE (LA),PESSAC LEOGNAN,RED,CC,162,,OWC6,120.0,88-89
399,2013,CH. MONTROSE,SAINT ESTEPHE,RED,2CC,75,BT,OWC6,57.6,87-89
400,2013,CH. MOULIN SAINT GEORGES,SAINT EMILION GRAND CRU   ,RED,GC,6,BT,OWC6,18.5,84-86
401,2013,CH. NENIN,POMEROL,RED,,72,BT,OWC6,28.0,87-88
402,2013,CH. OLIVIER BLANC,PESSAC LEOGNAN,WHITE,,30,BT,OWC12,19.0,88-90
403,2013,CH. OLIVIER ROUGE,PESSAC LEOGNAN,RED,CC,234,BT,OWC6,16.5,87-88
404,2013,CH. ORMES DE PEZ (LES),SAINT ESTEPHE,RED,,600,,OWC6,15.6,85-87
405,2013,CH. PAPE CLEMENT BLANC,PESSAC LEOGNAN  ,WHITE,,24,BT,OWC6,88.2,94-96
406,2013,CH. PAVIE,SAINT EMILION GRAND CRU   ,RED,CC1,300,BT,OWC6,165.0,92-94
407,2013,CH. PICQUE CAILLOU ROUGE,PESSAC LEOGNAN,RED,,24,BT,OWC12,11.5,-
408,2013,CH. POINTE (LA),POMEROL,RED,,180,BT,OWC12,18.6,86-88
409,2013,CH. POTENSAC,MEDOC,RED,,468,BT,OWC6,12.0,83-85
410,2013,CH. PRIEURE LICHINE,MARGAUX,RED,4CC,60,BT,OWC6,20.4,-
411,2013,CH. QUINTUS,SAINT EMILION GRAND CRU,RED,GC,24,BT,OWC6,60.0,86-88
412,2013,CH. REYNON,CADILLAC COTES DE BORDEAUX,RED,,120,,OWC12,7.1,-
413,2013,CH. ROUGET,POMEROL         ,RED,,96,BT,OWC12,22.2,86-88
414,2013,CH. SAINT PIERRE,SAINT JULIEN,RED,4CC,216,BT,OWC6,27.5,88-90
415,2013,CH. SENEJAC,HAUT MEDOC,RED,,600,BT,CB boxes6,7.8,87-88
416,2013,CH. SIRAN,MARGAUX         ,RED,,84,BT,OWC12,13.75,-
417,2013,CH. SIRAN,MARGAUX         ,RED,,6,BT,OWC6,13.75,-
418,2013,CH. SIRAN,MARGAUX         ,RED,,90,BT,OWC6,13.75,-
419,2013,CH. SMITH HAUT LAFITTE ,PESSAC LEOGNAN  ,RED,CC,600,BT,-,45.0,93-95
420,2013,CH. SMITH HAUT LAFITTE BLANC,PESSAC LEOGNAN  ,WHITE,CC,12,BT,OWC6,61.0,93-95
421,2013,CH. THIL (LE),PESSAC LEOGNAN,RED,,300,BT,OWC12,12.0,-
422,2013,CH. TROPLONG MONDOT,SAINT EMILION GRAND CRU,RED,C1B,174,BT,OWC6,52.8,92-94
423,2013,CH. VILLA BEL AIR ROUGE,GRAVES,RED,,60,BT,OWC6,7.6,-
424,2013,CH. VIOLETTE (LA),POMEROL,RED,,12,BT,OWC6,140.0,86-88
425,2013,CH. YQUEM (D'),SAUTERNES       ,SWEET,1CCSUP,120,BT,OWC6,250.0,98
426,2013,CH. YQUEM (D'),SAUTERNES       ,SWEET,1CCSUP,180,DM,OWC6,125.0,98
427,2013,CHAPELLE D'AUSONE,SAINT EMILION GRAND CRU,RED,2nd,12,BT,OWC6,100.0,88-91
428,2013,CHAPELLE DE POTENSAC,MEDOC,RED,2nd,300,BT,CB boxes6,6.9,82-84
429,2013,CLARTE DE HAUT BRION (LA),PESSAC LEOGNAN,WHITE,,96,BT,OWC6,65.0,90-92
430,2013,CLOS DE L'ORATOIRE,SAINT EMILION GRAND CRU,RED,CC,240,BT,OWC6,19.95,84-86
431,2013,CLOS DU MARQUIS,SAINT JULIEN,RED,,72,BT,OWC6,27.0,87-88
432,2013,CLOS FLORIDENE BLANC,GRAVES,WHITE,,96,BT,OWC12,11.9,90-92
433,2013,CLOS FLORIDENE ROUGE,GRAVES,RED,,216,BT,OWC12,11.9,-
434,2013,CLOS FOURTET,SAINT EMILION GRAND CRU,RED,C1B,300,BT,OWC6,51.0,88-90
435,2013,CLOS L'EGLISE,POMEROL,RED,,54,BT,OWC6,39.9,87-89
436,2013,CLOS RENE,POMEROL,RED,,60,BT,OWC12,15.0,-
437,2013,CROIX DE BEAUCAILLOU (LA),SAINT JULIEN    ,RED,2nd,492,BT,OWC12,21.9,87-88
438,2013,DAME DE MONTROSE (LA),SAINT ESTEPHE   ,RED,2nd,276,BT,OWC12,19.6,84-86
439,2013,DAUPHIN D'OLIVIER (LE),PESSAC LEOGNAN,WHITE,2nd,240,BT,CB boxes12,10.2,-
440,2013,DAUPHIN D'OLIVIER (LE),PESSAC LEOGNAN,RED,2nd,600,BT,CB boxes12 & CB boxes6,9.2,-
441,2013,DOMAINE DE CHEVALIER BLANC,PESSAC LEOGNAN,WHITE,CC,6,BT,OWC6,57.0,93-95+
442,2013,DOMAINE DE CHEVALIER ROUGE,PESSAC LEOGNAN  ,RED,CC,36,BT,OWC6,30.0,90-92
443,2013,DRAGON DE QUINTUS (LE),SAINT EMILION GRAND CRU,RED,2nd,48,BT,OWC12,15.0,84-86
444,2013,ECHO DE LYNCH BAGES,PAUILLAC        ,RED,2nd,576,BT,OWC6,19.8,-
445,2013,FIEFS DE LAGRANGE (LES),SAINT JULIEN    ,RED,2nd,600,BT,OWC6,13.8,-
446,2013,FUGUE DE NENIN,POMEROL,RED,,36,BT,OWC6,14.5,-
447,2013,HAUT MEDOC DE CH. GISCOURS (LE),HAUT MEDOC,RED,,600,BT,CB boxes12,10.75,-
448,2013,HAUTS DU TERTRE (LES),MARGAUX,RED,,600,BT,OWC12,12.8,-
449,2013,LACOSTE BORIE,PAUILLAC        ,RED,2nd,60,BT,OWC12,13.5,-
450,2013,LE DOME,SAINT EMILION GRAND CRU,RED,,72,BT,OWC6,67.0,90-92
451,2013,PARDE DE HAUT BAILLY (LA),PESSAC LEOGNAN,RED,2nd,480,BT,OWC12,14.4,87-88
452,2013,PAVILLON BLANC DU CHATEAU MARGAUX,MARGAUX,WHITE,2nd,6,BT,OWC6,140.0,92
453,2013,RESERVE DE LA COMTESSE (LA),PAUILLAC        ,RED,2nd,432,BT,OWC12,21.0,-
454,2013,RESERVE DE MALARTIC (LA),PESSAC LEOGNAN,RED,2nd,360,BT,OWC12,9.9,-
455,2013,VIEUX CHÂTEAU SAINT ANDRE,MONTAGNE SAINT EMILION,RED,,600,,OWC6,8.5,-
456,2014,DAUPHIN D'OLIVIER (LE),PESSAC LEOGNAN,WHITE,2nd,600,BT,CB boxes12 & CB boxes6,10.2,-
457,2014,DEMOISELLE DE SOCIANDO MALLET (LA),HAUT MEDOC,RED,,600,BT,CB boxes6,10.3,-
458,2014,Y D'YQUEM,BORDEAUX,WHITE,,66,BT,OWC6,95.0,91-93
459,2015,CH. MARJOSSE,BORDEAUX,WHITE,,600,BT,CB boxes12,5.1,-
460,2015,R DE RIEUSSEC,BORDEAUX ,WHITE,,600,BT,CB boxes6,12.0,
